id,Umur,Kelas Pekerja,Berat Akhir,Pendidikan,Jmlh Tahun Pendidikan,Status Perkawinan,Pekerjaan,Jenis Kelamin,Jam per Minggu,Gaji
0,2,8,205047,3,8,5,7,1,40.0,1
1,2,3,298785,0,5,2,12,1,40.0,0
2,1,8,106856,1,10,0,5,0,40.0,0
3,3,2,117674,3,12,4,9,1,40.0,1
4,2,8,268234,3,8,2,7,1,50.0,0
5,1,2,376936,3,8,0,9,1,50.0,0
6,2,1,168496,3,8,2,4,1,10.0,0
7,3,8,136080,3,8,2,9,0,31.0,0
8,3,8,232242,3,8,4,9,1,40.0,0
9,2,3,34935,2,9,0,10,1,40.0,0
10,3,1,187794,3,8,4,12,1,60.0,1
11,1,4,165457,3,12,0,13,1,40.0,0
12,2,8,146919,2,9,2,5,0,45.0,0
13,1,8,286435,2,9,0,7,1,40.0,0
14,4,8,49401,1,10,2,10,0,24.0,0
15,2,3,222654,2,9,4,4,1,66.0,0
16,1,8,142921,1,11,0,11,0,40.0,0
17,1,8,1038553,3,8,0,2,1,45.0,0
18,1,8,306459,0,1,1,4,1,35.0,0
19,4,8,275918,3,8,4,2,1,40.0,1
20,1,8,372728,3,12,0,10,0,24.0,0
21,2,8,213844,3,8,5,7,0,42.0,1
22,1,0,162312,2,9,0,0,1,40.0,0
23,2,8,101782,3,8,2,9,0,40.0,0
24,2,3,113337,2,9,4,13,1,42.0,1
25,1,3,268722,2,9,0,9,0,20.0,0
26,1,8,122922,3,8,0,2,0,50.0,0
27,1,8,314422,3,8,0,9,0,30.0,0
28,3,8,82783,3,8,4,7,1,40.0,0
29,4,3,114561,0,2,3,10,0,25.0,0
30,2,8,207578,3,12,4,11,1,35.0,1
31,2,0,104489,0,5,4,0,1,45.0,0
32,3,2,42298,1,4,4,2,1,40.0,0
33,2,8,376483,3,12,4,5,0,30.0,0
34,2,8,275867,3,8,4,11,1,40.0,0
35,3,8,111169,3,8,2,5,0,40.0,0
36,2,8,111567,1,10,0,7,1,40.0,0
37,1,8,259715,3,8,4,8,1,50.0,0
38,2,8,248445,3,8,1,12,1,60.0,0
39,1,8,227626,3,8,2,12,1,40.0,0
40,2,2,156728,3,8,4,9,1,55.0,0
41,2,8,126569,3,8,2,7,1,20.0,0
42,1,8,209768,1,10,4,3,1,40.0,1
43,1,8,138765,3,12,0,11,1,20.0,0
44,2,8,219902,1,10,0,5,0,40.0,0
45,1,8,154236,3,8,0,12,1,40.0,0
46,2,8,84610,3,12,4,2,1,60.0,1
47,2,8,46492,3,8,4,7,1,50.0,1
48,2,8,105475,3,8,4,7,1,40.0,0
49,1,8,25429,2,9,0,9,0,25.0,0
50,2,5,93225,2,9,4,5,1,40.0,1
51,1,8,264166,1,10,2,10,0,45.0,0
52,1,8,359828,3,12,4,11,1,44.0,1
53,2,8,30916,3,8,4,7,1,40.0,0
54,2,8,32896,0,2,0,3,0,35.0,0
55,3,8,185749,0,6,3,12,1,40.0,0
56,1,8,57916,3,8,0,6,1,40.0,0
57,1,8,226503,0,6,0,9,0,20.0,0
58,2,8,290660,1,11,4,11,1,30.0,0
59,3,5,335481,2,9,1,11,0,40.0,1
60,1,8,664670,3,8,0,7,1,40.0,0
61,3,1,183668,0,2,4,8,1,55.0,0
62,1,8,199698,1,11,4,4,1,48.0,0
63,2,8,133503,3,8,4,6,1,48.0,1
64,3,8,159816,3,12,4,11,0,20.0,1
65,4,8,174839,3,14,4,11,1,25.0,1
66,1,8,228686,2,9,0,10,1,45.0,0
67,2,8,29702,0,5,4,3,1,40.0,0
68,1,8,259425,1,10,0,6,1,40.0,0
69,3,8,168723,1,11,4,13,1,40.0,1
70,1,5,178025,2,9,0,2,1,9.0,0
71,1,8,161027,3,12,4,13,1,40.0,1
72,1,8,169155,0,7,0,10,1,35.0,0
73,2,8,282951,3,8,4,11,1,40.0,0
74,1,8,247819,1,10,4,11,0,5.0,0
75,1,8,498349,3,12,0,12,0,40.0,0
76,1,8,233781,0,6,0,10,1,18.0,0
77,2,8,152493,3,8,2,12,1,60.0,0
78,1,8,133061,2,9,0,12,1,40.0,0
79,2,8,186808,3,8,0,9,1,40.0,0
80,1,8,152328,2,9,0,8,1,40.0,0
81,2,8,235108,3,8,4,3,1,40.0,0
82,3,8,106151,0,6,2,12,1,40.0,0
83,1,8,189574,3,8,0,10,0,30.0,0
84,2,8,204729,1,10,1,9,0,25.0,0
85,3,5,212600,2,13,2,2,1,40.0,1
86,2,0,109921,3,8,1,0,0,32.0,0
87,2,8,121287,3,8,2,3,1,45.0,0
88,1,8,296453,3,12,4,5,1,40.0,1
89,4,8,149811,3,8,2,5,0,59.0,0
90,3,3,177189,3,12,4,11,1,42.0,0
91,1,8,460408,3,8,4,7,1,40.0,1
92,2,8,225456,3,12,4,11,1,40.0,1
93,1,8,191954,2,9,0,3,1,40.0,0
94,3,8,618130,3,8,2,10,0,40.0,0
95,3,8,153536,2,9,2,11,1,44.0,1
96,2,8,195565,3,12,2,2,0,40.0,0
97,2,8,55395,2,9,4,7,1,40.0,0
98,2,3,201410,3,12,4,2,1,40.0,1
99,1,8,114345,1,4,0,7,1,40.0,0
100,1,8,129784,2,9,0,10,0,40.0,0
101,2,4,346766,3,8,2,5,0,40.0,0
102,2,8,336042,3,8,1,12,1,40.0,0
103,1,1,121568,2,9,0,7,1,40.0,0
104,2,1,175943,2,9,0,7,0,14.0,0
105,1,8,257644,3,8,0,11,1,43.0,0
106,2,8,216385,3,8,4,3,1,40.0,0
107,1,8,54825,3,8,0,9,1,40.0,0
108,1,8,419691,0,7,4,9,1,40.0,1
109,1,0,186420,3,12,0,0,0,40.0,0
110,2,3,409505,3,12,2,6,1,40.0,0
111,2,8,87310,1,4,0,3,1,50.0,0
112,1,8,86745,3,12,4,11,0,40.0,0
113,2,4,159491,2,9,4,2,0,40.0,1
114,2,8,365307,3,8,1,5,0,32.0,0
115,3,8,123207,3,8,0,5,0,44.0,0
116,1,3,152171,0,6,0,6,1,10.0,0
117,2,8,276552,3,8,2,7,1,40.0,0
118,1,8,333119,2,9,0,7,1,40.0,0
119,3,8,56915,3,8,4,7,1,40.0,0
120,3,1,343242,2,9,4,12,1,55.0,0
121,2,2,314375,2,9,4,9,1,60.0,1
122,3,5,124076,3,12,3,5,0,40.0,0
123,1,8,160264,0,6,0,10,0,40.0,0
124,2,8,198841,1,10,2,13,1,35.0,0
125,2,8,279996,3,8,0,7,1,20.0,0
126,1,8,193122,3,8,4,3,1,40.0,0
127,2,8,223267,3,8,0,2,1,50.0,0
128,1,2,245611,2,9,0,7,1,20.0,0
129,1,8,181761,3,8,0,5,0,40.0,0
130,1,8,265434,2,9,0,11,0,30.0,0
131,2,2,398473,2,9,4,9,1,70.0,1
132,2,8,144594,3,8,4,5,1,40.0,0
133,1,8,53135,3,8,0,3,1,40.0,0
134,1,8,165107,2,9,0,1,0,40.0,0
135,1,8,107812,2,9,4,9,1,40.0,0
136,1,8,56774,3,8,0,7,1,40.0,0
137,1,8,104193,3,8,0,10,0,40.0,0
138,3,8,92565,2,13,4,11,1,40.0,1
139,1,8,235109,1,10,2,5,0,40.0,0
140,1,8,110622,0,2,0,9,0,20.0,0
141,1,4,33423,2,9,0,10,0,35.0,0
142,2,8,181758,2,9,2,5,0,40.0,0
143,3,4,82504,2,9,4,2,1,40.0,0
144,3,3,283314,1,11,4,6,1,40.0,1
145,2,8,139145,2,9,2,5,0,60.0,0
146,3,2,110457,3,12,4,2,1,50.0,1
147,1,8,133515,2,9,0,9,0,40.0,0
148,1,8,262153,3,8,2,7,1,35.0,0
149,2,8,92028,3,12,0,2,1,45.0,0
150,1,8,157911,2,9,4,5,0,40.0,1
